PC1,PC2,Label
-1.9601932847471597,-0.4477582931537176,Normal
1.2768780210951158,0.37396717360570153,Normal
0.786002885587602,-1.0153843941485197,Normal
0.07130562536170854,-0.6443000773618364,Normal
-0.268382037307697,1.0009667741458264,Normal
-1.4529897929379876,0.5147889450334024,Normal
1.3362494817797597,-0.4911780904260039,Normal
0.5005168009055837,0.007773890004007154,Normal
-0.5119958936369531,0.4812892662244104,Normal
0.001694394814824732,-0.06061040935447745,Normal
-0.26256518970417275,-0.394339904356086,Normal
-2.6285579341506837,-0.3106689852982254,Normal
-0.6632397622035979,0.5954507614670982,Normal
-0.2987396788944029,-0.8503076933029647,Normal
2.0534885519288713,0.15065795503255885,Anomalous
1.800570647303711,-0.19597401105035847,Normal
1.770717114602781,-0.19166963625993103,Normal
1.4437902684956212,0.9253459878153416,Normal
0.07746976511656894,0.6928101335029081,Normal
-0.6202311285820178,1.027947582971993,Normal
0.833054081576965,0.5398655337499529,Normal
0.5582936282109126,-0.8443277621906596,Normal
1.6922477126693505,0.17195237207627478,Normal
-0.4006940924864809,-1.224955747848305,Normal
-0.3467045142119971,-0.7895690926630798,Normal
0.1422030468473452,-0.5979100552483708,Normal
-0.0011339480073004511,0.17899825994123714,Normal
-0.5423057705485367,0.7409051035442068,Normal
2.798088836958458,1.3180692506385145,Normal
1.5169575899088406,-0.36902935289329725,Normal
-0.9168132941924932,-0.1780429250022663,Normal
0.6312146737684419,0.8904771610316974,Normal
1.4576756057710596,0.5965202625641411,Normal
1.3691071798217334,-0.0018933790839444791,Normal
0.5026106472549108,0.8144766576869764,Normal
0.639138259444928,-3.9199349905413166,Normal
1.1431810016681325,0.6586492740206161,Normal
1.32489725774534,-0.4805217164976057,Normal
-0.6986531408960578,-0.09091773649692104,Normal
0.021604415330311495,-0.32087273572258174,Normal
0.05019867271349773,-0.2725586309281769,Normal
-2.050222699682725,-0.06800869069022882,Normal
-1.0179427361495994,-0.12025810609283295,Normal
0.4381952401585789,-0.7970086422195123,Normal
0.32330484244169067,-0.5137027317512662,Normal
2.2395412302967355,-0.6336910766478667,Normal
1.2833382549035846,0.15714567061770984,Normal
1.0748890957523607,0.7463942859437074,Normal
-1.4658842223022432,-0.5845441343951496,Normal
-0.38045883016751125,-0.22763742836660447,Normal
-0.053584353001141706,-0.9982769007660133,Normal
0.051655872101129326,0.31392329240894384,Normal
-0.0540020217919875,-0.17030700976327143,Normal
-0.46849159804953994,0.7318690566016894,Normal
1.1041674912622919,-0.0918054421202203,Normal
-0.3290993016323167,0.6862037431376006,Normal
-2.0153777065626954,0.3184627639136678,Normal
0.5547601635650093,1.1572438133006782,Normal
0.013599839871767733,-0.8719072605253261,Normal
1.3763058679979954,-1.4753315663871944,Anomalous
1.4711922037964031,-0.2122738630183487,Normal
0.6293917612332242,0.15054740184190532,Anomalous
1.8260773100692504,-0.11423128958844164,Normal
0.36539180711787156,1.4398365686579135,Normal
-1.3906020548273692,-0.18666026737180164,Normal
0.7511829990231417,-0.06572543310909787,Normal
-0.1379323951639881,0.6171290720430199,Normal
-0.23541830910220907,-0.8399939685078999,Normal
-0.41315256480414286,0.6250171479999833,Normal
1.7396553597192637,-0.48597606236634816,Normal
1.8666721405825903,-0.6343577944424355,Normal
-1.5176595224411842,-0.8222669227582301,Normal
0.8658761909644463,1.5577207978322405,Normal
1.6996044729935524,1.1507717594372193,Normal
0.5072205514827605,-0.03678682599070021,Normal
4.564219336206037,-0.28468346882284135,Normal
-2.4030145209400873,-0.46048058649620077,Normal
-0.876651809157925,0.38163812722798274,Normal
0.7695199322958651,-0.24916734768715834,Normal
-0.4382879788262825,0.3995949629869025,Normal
-1.115783731199168,-0.8572171874560293,Normal
1.6209134961130571,-1.2346556591188205,Normal
-5.8613152547783605,-1.3171857678840797,Anomalous
-0.8579887733492357,0.5993711207983841,Normal
-0.19213992665412669,-0.41066883679847044,Normal
-1.6964821410612905,-0.34720454781700005,Normal
-0.11250089010102701,0.646099297187864,Normal
0.7963165593967629,0.39777284439547184,Normal
-0.02637741813222494,1.5511720298400569,Normal
-1.3907420113683795,-0.40510625504402875,Normal
-0.5094795991460467,-0.2677957299942112,Normal
-0.7070030934504937,-0.5959922188855128,Normal
0.22769115269417933,0.6452598392449826,Normal
0.11616828102310331,0.46180020976208086,Normal
-0.3587579128170082,0.29144206249160964,Normal
-0.5401859166835984,0.15698516992326214,Normal
-2.149563462975285,0.04475539586708203,Normal
-0.6958250158204149,0.5187280086346795,Normal
-1.1493202220471492,-0.8042116604782649,Normal
-0.39386907591299963,0.8984792136972423,Normal
3.607647830465732,0.0896318048487436,Normal
0.5819471570883018,0.061137364452350004,Normal
2.7024101439776227,1.5446812790878357,Normal
-1.0640033837472558,0.3708087285315961,Normal
1.1916643819797899,0.14107612524115778,Normal
-0.5375132001498723,-0.227447450757314,Normal
2.5368678943978993,-1.1880986319007794,Normal
-0.5966023635650979,0.16897988756340168,Normal
0.7634055173503218,0.057285499904162845,Normal
-0.6820417424527607,1.639242966941169,Normal
1.3124287003884316,0.3943256005000514,Normal
1.0449730580376795,0.10800830670111451,Anomalous
-1.020779009763721,-0.7984089964453418,Normal
-2.2067804862955116,0.44838295683945767,Normal
0.8363600607921553,0.6306977745993638,Normal
1.278276480532302,0.9386025729030295,Normal
1.1526341071400168,0.4547350885611238,Normal
-1.2474665864226868,0.15471118025921138,Normal
-0.44110159247321507,-0.7181395169854328,Normal
0.7283811757278496,-0.6866015486833724,Normal
0.0821093884584913,0.5804076381587737,Normal
0.11565215297415979,1.2604680305304115,Normal
-0.10057553809630046,-0.8925794043740314,Normal
1.8600470640352815,-0.6870338004384606,Normal
-1.2015721278654308,0.6719315839354371,Normal
1.5686218082989862,0.3328806092387953,Normal
-0.09704699892426516,-0.5226975868177209,Normal
3.1011012560453146,0.27099528689827584,Normal
-0.28451764816756314,-0.2992823308871391,Normal
0.7638389196231321,-1.0906989594268754,Normal
0.1874611441690828,-0.054627688050327375,Normal
-0.5099143544348741,-0.01771864216452491,Normal
-0.3437384279581986,-0.37609886343735943,Normal
0.08292544133738422,0.31909006692483166,Normal
1.7549592184336293,-0.001003468631349294,Normal
0.011352797660906768,-0.02539760247361565,Normal
-0.8176874362542466,0.10623162732784622,Normal
-1.394743329854987,-0.3625504148333394,Normal
-1.2180112181030824,-0.4207651448725995,Normal
-1.643351630022978,0.21455500664582045,Normal
0.1097662509246772,0.08990232599235827,Normal
0.6729853271050465,-0.47896966757102827,Normal
-0.25360867024371647,-0.5930845581288101,Normal
0.9075104238841616,-0.6348804506768219,Normal
0.3428617762386564,-0.5929924794583789,Normal
1.7367707535625045,-0.13738999474326427,Normal
-0.418363404924517,0.1936891553863071,Normal
-0.31302485315477946,0.5129638532371417,Normal
0.4990811886155704,1.3865503541673563,Normal
1.0490304423844146,-0.7118074162219937,Normal
1.4731131627672356,-0.7382935470306614,Normal
0.851768877942334,-0.5191994857056029,Normal
0.6181998317250976,0.8021130952460991,Normal
-0.8366699371317905,0.10772750341804321,Normal
-1.1939009912914713,-0.15256103780136754,Normal
1.3971843969816418,-0.12611666961025714,Normal
0.6908725982003601,1.0054003112335628,Normal
1.4202310893390742,-0.0485978984992512,Normal
-2.09842416974291,0.17700944987097936,Normal
0.6633544141186105,1.0406477941506076,Normal
-2.330205180943881,0.8238384166239795,Normal
-0.8488919945501169,-0.11093338966596969,Normal
-0.11372526233011049,-0.15553178234152487,Normal
-1.3247474987370658,0.6525558860915273,Normal
-1.246754583703234,0.39611920734917444,Normal
-0.4835562276055701,-0.7533325129017211,Normal
1.9986400111702147,0.13019285922173318,Normal
0.799650267311762,0.9847494017801017,Normal
2.6593544112749226,0.36764047938852024,Normal
1.2917025842452963,-0.3788531698583506,Normal
-0.6212534978488763,0.416981928146573,Normal
-0.6446481744874609,-0.03349658474072181,Normal
0.49125405887911067,-0.7524962070689417,Normal
2.5610016991656837,-3.3962251778870014,Normal
1.9391836329137686,-0.22396050290989342,Normal
1.3178924818586417,0.9769398968198516,Normal
1.4645474863043937,-0.4396180976398893,Normal
-0.3656088389840077,2.1026407659253192,Normal
-0.9766305470686618,-2.2034442357574617,Normal
-1.0683411095005937,1.1745362829211574,Normal
1.5733428057492918,-0.26041255375909805,Normal
-2.2589636334527174,-0.06466382369440879,Normal
0.4190612493504221,1.1595566494982104,Normal
0.049020506410323066,-0.6864072996723427,Normal
0.4163191788104785,-3.177817095768156,Normal
1.5534984560233063,1.8203451850909562,Normal
-0.23737680208461306,-0.3527191915164334,Normal
-1.0380242679612408,-3.624479242403395,Normal
-0.34150725617876665,3.295434758524443,Normal
-0.46207972966514094,0.1616986625950879,Normal
-2.37880686005013,0.2951097030281726,Normal
2.664452921280001,-0.0641266278698561,Normal
-0.3469404652405404,-4.407393249403583,Normal
-1.1363483836842854,0.09179242025904262,Normal
-0.3543805287690481,-1.288098768590785,Normal
0.7229799910347404,4.094507107887386,Normal
-0.5631975490077245,0.04353424736995953,Normal
-0.8556035744252843,0.5342928737650519,Normal
1.3358738213430554,1.1248288639589696,Normal
0.6834626691974391,-0.9838744041195688,Normal
-0.8647910278896956,-0.5581642646262645,Normal
0.34495429587438736,-0.6494820865999111,Normal
2.392051228367207,-0.42184334035284426,Normal
