Feature,VIF Score
Mean RSSI,1.1758150352807648
RSSI Std. Dev.,1.124728401642238
RSSI RoC,1.0152333924278145
RSSI Skewness,1.0639437011401691
RSSI Kurtosis,1.0062971160668255
