Mean RSSI,RSSI Std. Dev.,RSSI RoC,RSSI Skewness,RSSI Kurtosis
-15.499066637314913,-19.37994590203264,6.454705554284643,1.8064340410489557,-2.538310651512841
5.590652222175886,-3.348381899113047,-6.462802099935121,4.5439567921993245,-24.445118525957337
-7.333497577270962,-8.528381294104902,4.343210789695057,-8.042611912053461,-1.6792735237493384
5.409899496431708,-6.394735230775937,5.287383219795645,1.6975523782197603,-6.875506903041224
-4.400532670964778,1.8860760903105245,4.498412895135739,4.131660328528367,-138.03610545777244
7.018551759892187,-7.7013396542243395,-5.3272421245482855,-14.82147430552934,9.22807394264629
-17.205605416262767,4.717241188161928,-3.6883097627614125,-10.795971633546992,8.402439214176205
6.749298510408076,-0.850821097595075,2.300587207131701,-1.9891071544922527,4.018371023966904
4.687253097245207,-0.1727182575906383,-16.674848774307335,2.5434237062836713,-7.428100568084793
-1.7862990004159363,-5.252884744235258,5.1385126447406275,2.383876660616149,0.6979681222847378
2.425025827532548,1.6429653245316589,-1.7796256468781044,-8.590948616579624,3.6747449492727826
-4.726651631113193,-12.010105752313514,4.9769208237201,-27.13551058667031,5.178563110533022
6.93726829924272,1.0811040160335375,4.22300245915823,-11.773798736564776,1.4810645814741235
-22.498768938930073,5.608923024397166,-51.58124781945797,-2.762557469402381,4.080756547159319
-12.836775919982701,1.5295251192395867,-15.710916530768129,2.869355720696511,-10.513149684956957
-1.9484025311957656,-2.055888240592114,1.2792631977037985,-6.14640555872305,-6.900180407834111
9.885309077424482,-5.099426008584231,-37.82347560201856,-48.22646827238631,-2.7063479685297978
-13.200961588712687,-0.858448249558446,-1.489651470069137,4.558677976253589,-11.698414811437077
6.647817361125047,2.4269421009186716,0.14910945127416797,5.090226588099222,-10.287234507906371
-7.609544937549594,-9.42123632157575,-0.3296376415034832,-4.063204987487062,8.728996259011259
7.341140046877788,-6.654227310845949,-4.777746763119106,0.5498848136117918,-9.756049596610083
2.323092876020785,1.3313009365082493,-5.364066925207375,-4.4959307710411105,-0.5828232516154355
-23.473952455379617,1.5062285912254403,3.2873048962329996,2.285378079488802,-4.325086478999395
-4.9910827675352305,2.438306999713915,4.9114506382620995,-10.578286387265456,6.454652198720042
6.6381321507953075,-12.392959948168894,3.9423785417717268,4.484712318445103,-2.6971461066821414
5.4972577185250335,-2.6667728399278516,3.536581737573633,4.396272785430971,-0.5526831808205674
6.7329319031112504,1.4697408186043992,0.26660084107949844,2.863549169103145,-11.34551845381991
1.674449928542772,-7.384954965615904,-10.41493656835458,-1.4883536828803532,0.9817633438534159
9.40422091215295,-32.33662675324633,-7.152479736637372,5.837771138656052,-21.764223318248444
-28.57711888775715,2.6098115793471104,0.7710938396958795,-10.65028653363342,6.529780169033301
-14.012080786118593,2.2150429827302673,-9.743245003861,-4.308723062977311,-5.086315349746936
2.10652532165977,-1.7635533375209143,2.416960008931287,-6.4327596541169285,8.802115540853269
-27.0260038723415,1.78774942204047,3.567222900433109,5.677051131308962,-17.31696646496445
-31.599109209972895,3.606179473577545,0.6505888231962444,1.7561820581912964,7.8465313143055955
5.157277748797331,-2.1047758579161537,1.3951659203804962,-12.75564731482405,8.74989876517628
6.173541658175904,3.600033019755813,4.667798951180156,-37.70759363141823,-7.618920706429092
-35.463473678815824,2.7058699751933233,3.074279485351429,-3.144898285807472,-15.36736303262523
-11.968936865606196,2.709736886032464,3.8184167519016783,-3.489679772326799,1.3563773437128361
