False Positive Rate,WiMapper (Proposed),Hybrid (GMM),Hybrid (IF),Hybrid (AE)
0.0,0.0,0.0,0.0,0.0
0.010101010101010102,0.6757596616508691,0.600398646962043,0.6089521196123617,0.6050071265147722
0.020202020202020204,0.6966033727343062,0.6182527385537898,0.6247715688262041,0.6212429096866815
0.030303030303030304,0.7102639741059622,0.6369790093627303,0.6352765928984471,0.6333266102061897
0.04040404040404041,0.7214748058567746,0.6552485729731667,0.6464867178589702,0.6429184612244503
0.05050505050505051,0.7311077196669743,0.6770055777820988,0.6564935409710816,0.6513886015757631
0.06060606060606061,0.738041642704752,0.6871784276570831,0.6684516224457289,0.6577414568016671
0.07070707070707072,0.7431903686204419,0.6962301529838963,0.6782926084216304,0.6652981999947594
0.08080808080808081,0.7453908998509189,0.7082713081757362,0.684728244305339,0.6722738753759779
0.09090909090909091,0.7478822149497524,0.7164509404792935,0.6924095377384641,0.6772561090815312
0.10101010101010102,0.7514117360286523,0.7235511661005449,0.7018348965465881,0.6852698697713033
0.11111111111111112,0.7547749200465035,0.7301946845232924,0.7086029134930059,0.6918300903726199
0.12121212121212122,0.7575568638646051,0.7377513760000222,0.715412544872564,0.6977677494004351
0.13131313131313133,0.7611694069443352,0.742567789808153,0.7228447378256234,0.7021690187268396
0.14141414141414144,0.7645739468135135,0.7483393358791576,0.7288653671379061,0.7061963442737575
0.15151515151515152,0.7679786590705673,0.7530311822084681,0.7344291513413845,0.7108050306919373
0.16161616161616163,0.7720477714385009,0.7573077461457518,0.7396607785863919,0.715040238777894
0.17171717171717174,0.775452552650705,0.7612522048409274,0.7443112345868,0.7193996178505575
0.18181818181818182,0.779355431390315,0.7646984970535464,0.7496674637882028,0.7240498842243029
0.19191919191919193,0.783715103522367,0.7688921079451504,0.7541934040261533,0.7290323247953066
0.20202020202020204,0.7867462167756848,0.7724213014870867,0.7583456763052177,0.7330598744464626
0.21212121212121213,0.7888637777216944,0.7760751142242063,0.762290135000393,0.7387896681740262
0.22222222222222224,0.7923517016062412,0.7811822257067558,0.7669819296133409,0.7436477308928726
0.23232323232323235,0.7960886225381287,0.785085259595454,0.7707603615456435,0.7488377781823147
0.24242424242424243,0.799036575880316,0.7885314656141352,0.7747880318683122,0.7534050053164421
0.25252525252525254,0.8024828508541475,0.7926836516992618,0.778358994992477,0.7573907681465821
0.26262626262626265,0.8053893793898572,0.795590197473759,0.7816392776810108,0.7610445981224891
0.27272727272727276,0.8092093395613625,0.7989535366406982,0.7852932283284306,0.7649475975336122
0.2828282828282829,0.8126971600131843,0.8017770776531528,0.7898605933728585,0.7684353145527086
0.29292929292929293,0.8152300205900079,0.8056385143474982,0.7937636617391316,0.7721721665294459
0.30303030303030304,0.8180535098861,0.8087110868848681,0.7969609224268351,0.7757013600713824
0.31313131313131315,0.8213752346198986,0.8111609426996493,0.7996597925277441,0.7792304846581686
0.32323232323232326,0.8247799985933149,0.8148562836759716,0.8030230455007453,0.7828843491116507
0.33333333333333337,0.8273958466933937,0.8181363250214794,0.8065938707146099,0.7866212700435384
0.3434343434343435,0.82926428992055,0.8217487991460594,0.8099155954484083,0.7902337614069058
0.3535353535353536,0.8317140767801808,0.824696890398547,0.8135693392303777,0.7954234294430218
0.36363636363636365,0.8354509115181304,0.8285582064213795,0.817015665920572,0.8002396881020648
0.37373737373737376,0.8390218574035077,0.833582209709161,0.820503434656031,0.8037689161215763
0.38383838383838387,0.8421358375085676,0.8367377870085739,0.8237420167174866,0.8072151393790452
0.393939393939394,0.8445855726518359,0.840142447549265,0.8276865960841748,0.8110350995505504
0.4040404040404041,0.8467030818814829,0.8428829148445269,0.8306346873366625,0.8143152443287835
0.4141414141414142,0.8486131050642041,0.8457064213794064,0.8333337125866593,0.8186331296398197
0.42424242424242425,0.850938272728652,0.8483222177631224,0.8369045033229486,0.8227437185305932
0.43434343434343436,0.8535542070226685,0.8513949109720056,0.8404337141036727,0.8265635235530107
0.4444444444444445,0.8557963526862858,0.8551733256655204,0.8445029471431192,0.8300095571838165
0.4545454545454546,0.8574986657178437,0.8589931824043007,0.8475754852029143,0.8330820607660365
0.4646464646464647,0.8597408458590363,0.8629793417265542,0.8506895515019121,0.8364452447838877
0.4747474747474748,0.8626890405442491,0.8662595037435752,0.8542602388054762,0.8398914335637814
0.48484848484848486,0.8655124091688284,0.8702870189171559,0.8570836074300553,0.8437113247801366
0.494949494949495,0.8683774094653355,0.8737332766521998,0.8608620393623578,0.8473236265168408
0.5050505050505051,0.8704950048889202,0.8781762121281076,0.8639760367062055,0.8508114642074501
0.5151515151515152,0.871948200201625,0.882037752255178,0.8674638916356023,0.8542576357485565
0.5252525252525253,0.8736920931887482,0.8855669802746897,0.8709101148930714,0.85828527159365
0.5353535353535354,0.875145288501453,0.8888885843369756,0.8742735919703106,0.8612334145625002
0.5454545454545455,0.877346009358593,0.8920026851135484,0.876764872591569,0.8654271633644045
0.5555555555555556,0.8798787320251164,0.8949506729333108,0.8807511353465479,0.8684995290363243
0.5656565656565657,0.8820794356434687,0.8975249755553995,0.8838652361231206,0.8708661387460367
0.5757575757575758,0.8845291535479494,0.9002654428506609,0.8868132584204581,0.873855603088639
0.5858585858585859,0.8867712992115668,0.9026737359486642,0.8900935583477793,0.8767206033851462
0.595959595959596,0.8891794888768448,0.9052895495711681,0.8932907673191203,0.8806236027962692
0.6060606060606061,0.8917123322148808,0.9072411009930921,0.8965709293361414,0.8835301658095542
0.6161616161616162,0.894701917228996,0.9094832121791345,0.8993113793926154,0.8867273403033199
0.6262626262626263,0.8973592935682774,0.9125558191940799,0.9020933921658674,0.8909625828668519
0.6363636363636365,0.9001828001031568,0.9152962692505542,0.9038787271982557,0.8939521161646043
0.6464646464646465,0.9037536253170213,0.9194068064249651,0.9069513514519887,0.8966095959366107
0.6565656565656566,0.9068676743772317,0.9231020612073495,0.9098993220329632,0.8993084487987325
0.6666666666666667,0.909400465998905,0.9253857523489574,0.9128056954195852,0.9022149773344422
0.6767676767676768,0.9119746996658433,0.927835659880101,0.915463054520079,0.9050385183468969
0.686868686868687,0.9146319725723995,0.9304100659349148,0.9190336901072804,0.9077373712090182
0.696969696969697,0.9163344579918329,0.9328597321230326,0.9215250914000517,0.9104362240711396
0.7070707070707072,0.9182860956076949,0.935600061507994,0.9240578140665748,0.9135918875644904
0.7171717171717172,0.9216077858639183,0.938465027326926,0.9268811826911539,0.9172042410175573
0.7272727272727273,0.9236838875258755,0.9417036783435316,0.9291233283547715,0.9198201580727863
0.7373737373737375,0.9263828782982972,0.9451915160341411,0.9320298051741187,0.9228928512816694
0.7474747474747475,0.9280022727617503,0.9485547517683548,0.9351438025179662,0.9257994142949544
0.7575757575757577,0.9297877112268639,0.9507969663871224,0.9377596678568325,0.9295362835104791
0.7676767676767677,0.9329433402426393,0.9527485867641967,0.940292493956081,0.932276750805741
0.7777777777777778,0.9355593262530185,0.9549076759494091,0.9434480367779189,0.9350170457131274
0.787878787878788,0.9384658547887283,0.9566516723692576,0.9467281470785771,0.9377575474859642
0.797979797979798,0.9409155899319966,0.9581464131599526,0.9491363884602176,0.9409547392185175
0.8080808080808082,0.9441956485162921,0.9597242621454154,0.9517936441279863,0.943529041840606
0.8181818181818182,0.9475173042949405,0.9613020938920906,0.9545756051848755,0.9462278947027274
0.8282828282828284,0.9499255801541562,0.9621325035270557,0.957066851328559,0.9500065335004807
0.8383838383838385,0.9533303096499974,0.9630459351628511,0.9603055713003149,0.9529130965137655
0.8484848484848485,0.9569426286254894,0.9657448569801229,0.9632120825972372,0.9561518682018839
0.8585858585858587,0.9606795495573767,0.9677379194024622,0.9654128034543771,0.9593906054124277
0.8686868686868687,0.9637105766167571,0.9696894880631739,0.9686514027546205,0.9627124335789515
