Recall,WiMapper (Proposed),Hybrid (GMM),Hybrid (IF),Hybrid (AE)
0.0,1.0,1.0,1.0,1.0
0.010101010101010102,0.9999986658259543,0.9999986658259543,0.9999986658259543,0.9999986658259543
0.020202020202020204,0.9999973316519085,0.9999973316519085,0.9999973316519085,0.9999973316519085
0.030303030303030304,0.9999959974778628,0.9999959974778628,0.9999959974778628,0.9999959974778628
0.04040404040404041,0.999994663303817,0.999994663303817,0.999994663303817,0.999994663303817
0.05050505050505051,0.9999933291297711,0.9999933291297711,0.9999933291297711,0.9999933291297711
0.06060606060606061,0.9999919949557257,0.9999919949557257,0.9999919949557257,0.9999919949557257
0.07070707070707072,0.9999906607816798,0.9999906607816798,0.9999906607816798,0.9999906607816798
0.08080808080808081,0.999989326607634,0.999989326607634,0.999989326607634,0.999989326607634
0.09090909090909091,0.9999879924335883,0.9999879924335883,0.9999879924335883,0.9999879924335883
0.10101010101010102,0.9999866582595425,0.9999866582595425,0.9999866582595425,0.9999866582595425
0.11111111111111112,0.9999853240854968,0.9999853240854968,0.9999853240854968,0.9999853240854968
0.12121212121212122,0.9999839899114511,0.9999839899114511,0.9999839899114511,0.9999839899114511
0.13131313131313133,0.9999826557374053,0.9999826557374053,0.9999826557374053,0.9999826557374053
0.14141414141414144,0.9999813215633596,0.9999813215633596,0.9999813215633596,0.9999813215633596
0.15151515151515152,0.9999799873893138,0.9999799873893138,0.9999799873893138,0.9999799873893138
0.16161616161616163,0.9999786532152679,0.9999786532152679,0.9999786532152679,0.9999786532152679
0.17171717171717174,0.9999773190412224,0.9999773190412224,0.9999773190412224,0.9999773190412224
0.18181818181818182,0.9999759848671765,0.9999759848671765,0.9999759848671765,0.9999759848671765
0.19191919191919193,0.999974650693131,0.999974650693131,0.999974650693131,0.999974650693131
0.20202020202020204,0.999973316519085,0.999973316519085,0.999973316519085,0.999973316519085
0.21212121212121213,0.9999719823450393,0.9999719823450393,0.9999719823450393,0.9999719823450393
0.22222222222222224,0.9999706481709936,0.9999706481709936,0.9999706481709936,0.9999706481709936
0.23232323232323235,0.9999693139969479,0.9999693139969479,0.9999693139969479,0.9999693139969479
0.24242424242424243,0.9999679798229021,0.9999679798229021,0.9999679798229021,0.9999679798229021
0.25252525252525254,0.9999666456488564,0.9999666456488564,0.9999666456488564,0.9999666456488564
0.26262626262626265,0.9999653114748106,0.9999653114748106,0.9999653114748106,0.9999653114748106
0.27272727272727276,0.9999639773007649,0.9999639773007649,0.9999639773007649,0.9999639773007649
0.2828282828282829,0.9999626431267192,0.9999626431267192,0.9999626431267192,0.9999626431267192
0.29292929292929293,0.9999613089526733,0.9999613089526733,0.9999613089526733,0.9999613089526733
0.30303030303030304,0.9999599747786277,0.9999599747786277,0.9999599747786277,0.9999599747786277
0.31313131313131315,0.9999586406045818,0.9999586406045818,0.9999586406045818,0.9999586406045818
0.32323232323232326,0.999957306430536,0.999957306430536,0.999957306430536,0.999957306430536
0.33333333333333337,0.9999559722564904,0.9999559722564904,0.9999559722564904,0.9999559722564904
0.3434343434343435,0.9999546380824447,0.9999546380824447,0.9999546380824447,0.9999546380824447
0.3535353535353536,0.9999533039083989,0.9999533039083989,0.9999533039083989,0.9999533039083989
0.36363636363636365,0.9999519697343532,0.9999519697343532,0.9999519697343532,0.9999519697343532
0.37373737373737376,0.9999506355603074,0.9999506355603074,0.9999506355603074,0.9999506355603074
0.38383838383838387,0.9999493013862617,0.9999493013862617,0.9999493013862617,0.9999493013862617
0.393939393939394,0.999947967212216,0.999947967212216,0.999947967212216,0.999947967212216
0.4040404040404041,0.9999466330381701,0.9999466330381701,0.9999466330381701,0.9999466330381701
0.4141414141414142,0.9999452988641245,0.9999452988641245,0.9999452988641245,0.9999452988641245
0.42424242424242425,0.9999439646900786,0.9999439646900786,0.9999439646900786,0.9999439646900786
0.43434343434343436,0.999942630516033,0.999942630516033,0.999942630516033,0.999942630516033
0.4444444444444445,0.9999412963419871,0.9999412963419871,0.9999412963419871,0.9999412963419871
