Averaging Time (tau),Deviation (sigma)
1.0,8.134443615412847
2.0,6.280686357090183
3.0,5.554827654449211
4.0,5.109239154164358
6.0,4.870378782252196
7.0,4.892998263769451
10.0,4.738795456676346
13.0,4.335537180619784
16.0,4.2123721475259
21.0,4.556830461502302
28.0,5.233587952715892
36.0,5.755230100860432
47.0,6.26700201835647
61.0,6.516106666939889
79.0,6.686395155283292
103.0,6.509861916988356
133.0,5.718224293170392
