Fraction,Bio_Acc,Rand_Acc
0.05,0.575,0.7041666666666667
0.1,0.7958333333333333,0.7458333333333333
0.25,0.8625,0.8666666666666667
0.5,0.8958333333333334,0.875
1.0,0.9416666666666667,0.9583333333333334
